Feature,Importance
noise_per_ms,0.0941219639566743
eph,0.005895986415569566
timestamp,0.08875552312393124
s_variance_m_s,0.006073349813165373
epv,0.019442027336342215
lat_x,0.059815976303543225
epv_x,0.1321687628724362
evh,0.02106921609680081
alt_ellipsoid_x,0.07969249218310016
alt_ellipsoid_y,0.006359496396995293
vel_m_s,0.005673099776113374
satellites_used,0.04851764518552705
hdop,0.04404889723582163
vdop,0.005644446189386303
y,0.007270503487872183
vel_d_m_s,0.006880689556184222
delta_heading,0.1849991938443306
c_variance_rad,0.015402170639431645
vel_n_m_s,0.01175461279820503
z,0.00555107314310219
heading_y,0.009192028932230808
vy,0.005567773632186132
vx,0.019569888411359114
vel_e_m_s,0.004465691533922186
q[2],0.007378181250205882
jamming_indicator,0.005078240546523823
cog_rad,0.04573392688364291
z_deriv,0.006980295156826397
vz,0.009164247088631056
ay,0.005369058267604392
az,0.005262714511957466
ax,0.00527450071637629
q[1],0.01709959984115509
terrain_alt_valid,0.004726726872845887
