s_variance_m_s,noise_per_ms,c_variance_rad,cog_rad,eph_y,eph_x,evh,eph,epv_x,timestamp,epv_y,epv,alt_ellipsoid_y,alt_y,vel_m_s,lat_y,evv,lat_x,x,lon_y,vel_d_m_s,alt_ellipsoid_x,lon_x,vel_n_m_s,y,vel_e_m_s,hdop,q[0],heading_y,satellites_used,q[3],vx,vdop,vy,alt_x,z,q[1],dist_bottom,q[2],vz,z_deriv,terrain_alt,az,ay,ax,jamming_indicator,ref_lon,fix_type,ref_alt,source,snr,gps_error_ratio
0.26485716,100.0,0.6631204429,2.734358,1.411857214,2.250478,0.14924873,0.4249134,4.37112,485589545,2.208714286,0.39759472,85394.57143,48297.57143,0.01771428643,362048115.6,0.1004251,36.20481254,2.7174242,1382529179,-0.06342857857,85.35858,138.2529188,-0.009714286143,0.21377493,0.003,0.71,-0.315817815,-2.4990602,14.0,0.948751955,0.16364019,1.2099999,0.16181791,44.171974,0.080698736,-0.0062914381,0.19780102,0.0001235021,0.023002697,0.015957145,0.0,0.8452764,0.87470955,-0.13141708,29.0,138.2529164,3.0,44.252674,0,0.007751937984496124,1.0687098661672367
0.339655189,103.0,0.4772125224,1.4001862,1.457551779,2.25147128,0.14577022,0.4246631,4.3714094,369247921,2.256137931,0.3993816167,85922.86207,48826.86207,0.05844827855,362048046.3,0.10310655,36.20480594,1.9894082,1382529201,-0.03272413972,85.76886,138.2529199,-0.01665517131,0.3141427133,0.01634482759,0.7234482759,-0.3094446,-2.511572133,13.55172414,0.95046574,0.13081921,1.259310245,0.091472489,44.315112,-0.06132757267,0.026732154,0.3140608733,0.012019627,-0.027474466,0.002068613733,0.0,0.8677633,5.570157667,0.4809735067,19.34482759,138.2529164,3.0,44.252674,0,0.008173618939994617,1.063301569834123
0.4035172469,102.0,0.7713705931,1.9975964,1.614827686,2.25844636,0.16194795,0.45780978,4.3718587,400092748,2.48031049,0.40275687,86210.58621,49114.58621,0.06213793131,362048065.3,0.1088644,36.20480529,1.9068865,1382529232,0.05403448276,86.4476604,138.2529243,-0.01931034483,0.70776075,0.04900000724,0.71,-0.31597218,-2.4979467,14.0,0.94821876,-0.042163268,1.2099999,0.030672973,45.0371094,-0.7851037,-0.015077059,1.0636034,0.028556637,-0.041993503,0.10729521,0.0,0.20207413,1.1530124,5.4430776,16.82758621,138.2529164,3.0,44.252674,0,0.008415554265595648,1.1366901823425135
1.643888989,139.0,0.6646649511,0.07176183,4.435222489,2.822654667,0.3155659933,0.9143448867,3.93097535,379798130,3.3910002,0.4148794833,87065.66667,49969.55556,0.6934444444,362048783.8,0.094892455,36.20484602,4.502242167,1382529183,-0.3542222489,85.36895667,138.2529187,-0.02488888889,0.5939846867,0.5748889411,1.292222128,-0.3795539,-2.365169333,6.333333333,0.92096233,0.71700339,1.778888789,0.2787412433,51.85653583,-0.15752153,0.0634808,0.6546843,0.06113539,0.02977333867,0.042718182,0.0,2.3443942,1.4698766,1.927010767,11.22222222,138.2529121,3.0,51.69883,1,0.006656804733826284,2.203880701516483
0.2764348026,111.173913,0.6422967361,5.739625,1.932043578,2.716104775,0.145292455,0.49651334,3.926470275,341201889,2.681478365,0.370544725,84978.30435,47881.78261,0.03043478457,362048186.0,0.07961704,36.2048196,1.56810225,1382529119,0.04921739522,84.7976625,138.2529124,0.01926086957,0.024366268,-0.001608696087,0.84,-0.3702862,-2.3827424,11.0,0.9286458,-0.137204325,1.3,-0.078883389,51.8863795,-0.186987475,0.0069457395,0.68415025,-0.021373495,0.07654362,0.0171191605,0.0,0.9171646,-1.01019923,-2.52691775,20.39130435,138.2529121,3.0,51.69883,0,0.007600793128625496,1.3399552240286243
0.2907931117,101.0,0.7716020069,1.9975964,1.549689755,2.2527876,0.13961464,0.43036973,4.3701624,438100211,2.348517241,0.3857797,85529.48276,48433.48276,0.0125172421,362048130.7,0.09627107,36.20481376,2.854093,1382529231,0.04579310579,85.73447,138.2529236,-0.007172413903,0.64569265,0.007862068966,0.71,-0.3160071,-2.4986017,14.0,0.94871414,0.10331529,1.2099999,0.07042135,44.574834,-0.32302058,-0.0019997808,0.6015203,-0.008772539,0.02909294,0.028913897,0.0,1.8349371,4.8843794,-0.47743064,25.34482759,138.2529164,3.0,44.252674,0,0.007914847161334435,1.1155841792608578
0.3052580845,100.1935484,0.6424856742,5.739625,1.591096874,2.7064442,0.14341589,0.44021496,3.926256714,370700270,2.354,0.368236,85287.41935,48191.41935,0.02777419365,362048202.0,0.078009385,36.20482085,1.7065256,1382529162,-0.04483870968,85.12245643,138.2529148,0.01532258063,0.243990295,0.01964516313,0.84,-0.37173748,-2.37955235,11.0,0.9283341,-0.011346711,1.3,-0.000651472,51.90328857,-0.204132475,-0.0016768274,0.70129525,-0.0020482107,0.093585038,-0.00327108685,0.0,-0.81896725,-1.12972385,-0.07629375,17.12903226,138.2529121,3.0,51.69883,0,0.00852350838495441,1.195469644467135
0.7502903477,102.0,0.7712421419,1.9975964,1.717580745,2.270709617,0.1992554067,0.5186020667,4.374905267,379396290,2.588516213,0.4369630133,86534.25806,49437.67742,0.3534838877,362048031.3,0.124951902,36.20480316,1.6726248,1382529228,-0.09770967742,86.122536,138.2529222,-0.1370645161,0.5218606367,0.06567742516,0.71,-0.31242904,-2.506731133,14.0,0.9499409,-0.13267415,1.2099999,0.04215000767,44.45559533,-0.20271975,0.00015955517,0.4554530267,-0.00059957756,0.005609346167,0.02881175933,0.0,0.5056096333,-5.936050833,3.079218133,15.83870968,138.2529164,3.0,44.252674,0,0.008486175745776378,1.1868328689502838
0.271,99.0,0.6630161357,2.734358,1.428571514,2.250716083,0.1416726367,0.4235766233,4.370833167,467948657,2.281143057,0.3941965933,85229.0,48132.85714,0.01100000086,362048115.7,0.09763149667,36.20481171,2.6255269,1382529175,0.01728571429,85.209059,138.252918,0.008142857286,0.14190424,-0.007142857143,0.71,-0.31616673,-2.497804033,14.0,0.9487029,-0.02578613333,1.2099999,-0.008888226033,44.47820167,-0.2260040133,-0.00055752875,0.5045037533,0.0010841102,0.005753173567,0.01787943,0.0,-0.23262204,-1.066270133,-1.0024397,20.42857143,138.2529164,3.0,44.252674,0,0.008373205741526635,1.074531415287094
0.9289355468,139.6451613,0.7228312548,0.58644736,5.927967935,3.101143233,0.3557023233,1.589378433,3.949638433,392350079,7.407580716,0.565806,82536.32258,45439.32258,0.2116774258,362049241.5,0.17895347,36.2049446,15.47910233,1382529084,0.386032271,85.38229,138.2529154,0.05387096739,0.3036208467,-0.1951290394,0.84,-0.17333679,-2.870398967,11.0,-0.03371543,-0.06936640467,1.3,0.3216419333,51.74821733,-0.05037861833,0.13507983,0.6343625333,-0.9749723,-0.15340004,-0.07742120833,0.0,-0.020439504,0.02697633133,-0.2073558567,29.93548387,138.2529121,3.0,51.69883,1,0.005896899371962684,2.80905192415775
